* If the 17th wire is silver, cut the 10th wire.
* If the 15th wire is lead, cut the 10th wire.
* If there are more than 7 banana wires, cut the 2nd wire.
* If there are exactly 19 ash wires, cut the 16th wire.
* If there is exactly 1 magenta wire, cut the 20th wire.
* If there are exactly 6 fern wires, cut the 7th wire.
* If there are exactly 14 tiger wires, cut the 20th wire.
* If there are exactly 12 berry wires, cut the 9th wire.
* If there are more than 15 jade wires, cut the 5th wire.
* If there are exactly 15 pear wires, cut the 10th wire.
* If the 6th wire is pear, cut the 8th wire.
* If the 17th wire is violet, cut the 15th wire.
* If the 2nd wire is pickle, cut the 11th wire.
* If there are exactly 15 obsidian wires, cut the 2nd wire.
* If the 11th wire is plum, cut the 10th wire.
* If the 1st wire is penny, cut the 6th wire.
* If the 9th wire is magenta, cut the 2nd wire.
* If there are exactly 9 granola wires, cut the 12th wire.
* If the 19th wire is carrot, cut the 8th wire.
* If the 9th wire is crepe, cut the 7th wire.
* If the 7th wire is iron, cut the 6th wire.
* If the 15th wire is iron, cut the 19th wire.
* If there are exactly 18 wine wires, cut the 4th wire.
* If the 7th wire is chocolate, cut the 3rd wire.
* If there are exactly 5 peach wires, cut the 8th wire.
* If there are exactly 8 sand wires, cut the 16th wire.
* If there are exactly 20 wood wires, cut the 20th wire.
* If the 10th wire is tortilla, cut the 10th wire.
* If the 4th wire is ivory, cut the 2nd wire.
* If the 7th wire is gray, cut the 13th wire.
* If the 15th wire is buttermilk, cut the 18th wire.
* If there are exactly 11 orchid wires, cut the 1st wire.
* If there are exactly 5 shamrock wires, cut the 5th wire.
* If the 12th wire is frost, cut the 18th wire.
* If there are exactly 12 orange wires, cut the 10th wire.
* If there are exactly 15 purple wires, cut the 12th wire.
* If there are exactly 8 fern wires, cut the 20th wire.
* If the 15th wire is white, cut the 12th wire.
* If there are exactly 15 bone wires, cut the 15th wire.
* If the 10th wire is apricot, cut the 19th wire.
* If there are exactly 7 stone wires, cut the 4th wire.
* If the 15th wire is shamrock, cut the 12th wire.
* If there are exactly 12 crepe wires, cut the 18th wire.
* If there are exactly 15 red wires, cut the 1st wire.
* If there are exactly 13 sky wires, cut the 7th wire.
* If there are exactly 9 pineapple wires, cut the 12th wire.
* If there are exactly 17 cherry wires, cut the 2nd wire.
* If there are more than 14 brown wires, cut the 16th wire.
* If the 1st wire is peach, cut the 2nd wire.
* If there are exactly 13 coconut wires, cut the 19th wire.
* If there is exactly 1 carrot wire, cut the 20th wire.
* If the 5th wire is blood, cut the 18th wire.
* If there are exactly 4 charcoal wires, cut the 12th wire.
* If there are exactly 19 blood wires, cut the 11th wire.
* If the 19th wire is blue, cut the 15th wire.
* If there are exactly 18 granola wires, cut the 15th wire.
* If there are exactly 19 pickle wires, cut the 1st wire.
* If there are exactly 13 plum wires, cut the 3rd wire.
* If there are exactly 9 granola wires, cut the 6th wire.
* If there are exactly 19 black wires, cut the 19th wire.
* If there are exactly 14 coconut wires, cut the 18th wire.
* If there are exactly 12 ruby wires, cut the 7th wire.
* If there are exactly 20 azure wires, cut the 7th wire.
* If there are exactly 15 sage wires, cut the 3rd wire.
* If the 12th wire is pickle, cut the 1st wire.
* If there are exactly 4 lead wires, cut the 19th wire.
* If there are exactly 17 azure wires, cut the 7th wire.
* If the 10th wire is sky, cut the 7th wire.
* If there are exactly 9 teal wires, cut the 9th wire.
* If there are exactly 8 pickle wires, cut the 9th wire.
* If there are exactly 7 rosewood wires, cut the 15th wire.
* If there are exactly 6 shortbread wires, cut the 8th wire.
* If the 18th wire is brown, cut the 16th wire.
* If there are exactly 13 seaweed wires, cut the 16th wire.
* If there are exactly 15 bronze wires, cut the 12th wire.
* If the 7th wire is bubblegum, cut the 20th wire.
* If there are exactly 13 butter wires, cut the 15th wire.
* If there are exactly 2 oyster wires, cut the 14th wire.
* If there are more than 19 shamrock wires, cut the 12th wire.
* If the 11th wire is apricot, cut the 7th wire.
* If the 19th wire is pearl, cut the 10th wire.
* If the 8th wire is iris, cut the 6th wire.
* If the 17th wire is shortbread, cut the 2nd wire.
* If the 8th wire is lapis, cut the 14th wire.
* If there are exactly 19 emerald wires, cut the 18th wire.
* If the 2nd wire is sandstone, cut the 14th wire.
* If there are exactly 18 rosewood wires, cut the 6th wire.
* If the 12th wire is berry, cut the 13th wire.
* If the 14th wire is pear, cut the 2nd wire.
* If the 10th wire is corn, cut the 4th wire.
* If the 11th wire is pickle, cut the 3rd wire.
* If there are exactly 9 navy wires, cut the 10th wire.
* If there are exactly 2 chiffon wires, cut the 8th wire.
* If the 16th wire is hazelnut, cut the 8th wire.
* If there are exactly 19 penny wires, cut the 12th wire.
* If the 11th wire is obsidian, cut the 15th wire.
* If there are exactly 19 red wires, cut the 7th wire.
* If there is exactly 1 cherry wire, cut the 16th wire.
* If there are exactly 8 bone wires, cut the 20th wire.
* If the 6th wire is watermelon, cut the 9th wire.
* If the 10th wire is cobalt, cut the 9th wire.
* If there are exactly 5 flint wires, cut the 4th wire.
* If the 9th wire is coconut, cut the 2nd wire.
* If the 7th wire is iron, cut the 14th wire.
* If the 14th wire is coral, cut the 8th wire.
* If there are exactly 19 silver wires, cut the 20th wire.
* If the 20th wire is rust, cut the 5th wire.
* If there are exactly 18 emerald wires, cut the 14th wire.
* If there are exactly 2 latte wires, cut the 2nd wire.
* If the 19th wire is tan, cut the 11th wire.
* If the 9th wire is basil, cut the 17th wire.
* If there are exactly 12 red wires, cut the 5th wire.
* If there are more than 15 plum wires, cut the 18th wire.
* If the 19th wire is chiffon, cut the 15th wire.
* If there are exactly 18 tiger wires, cut the 8th wire.
* If there are exactly 15 sky wires, cut the 5th wire.
* If there are exactly 20 gray wires, cut the 12th wire.
* If the 12th wire is penny, cut the 11th wire.
* If there are exactly 20 carrot wires, cut the 18th wire.
* If there are exactly 5 shortbread wires, cut the 19th wire.
* If there are exactly 4 rouge wires, cut the 6th wire.
* If there are exactly 10 rust wires, cut the 14th wire.
* If there are exactly 2 iris wires, cut the 15th wire.
* If there are exactly 12 arctic wires, cut the 15th wire.
* If there are exactly 8 berry wires, cut the 2nd wire.
* If there are exactly 2 iris wires, cut the 14th wire.
* If there is exactly 1 cloud wire, cut the 5th wire.
* If the 10th wire is eggplant, cut the 16th wire.
* If the 18th wire is hickory, cut the 10th wire.
* If the 1st wire is crepe, cut the 20th wire.
* If there are more than 16 green wires, cut the 3rd wire.
* If there are exactly 17 blood wires, cut the 19th wire.
* If there are exactly 7 lime wires, cut the 18th wire.
* If there are exactly 16 bone wires, cut the 8th wire.
* If there are more than 16 ivory wires, cut the 9th wire.
* If there are more than 7 ash wires, cut the 19th wire.
* If there are exactly 19 watermelon wires, cut the 9th wire.
* If there are more than 13 silver wires, cut the 7th wire.
* If the 1st wire is navy, cut the 18th wire.
* If the 4th wire is coral, cut the 10th wire.
* If the 12th wire is eggplant, cut the 11th wire.
* If there are exactly 5 apricot wires, cut the 20th wire.
* If there are more than 14 gray wires, cut the 9th wire.
* If the 15th wire is tortilla, cut the 8th wire.
* If there are exactly 3 pear wires, cut the 14th wire.
* If there are exactly 3 chiffon wires, cut the 2nd wire.
* If there are exactly 11 watermelon wires, cut the 13th wire.
* If the 10th wire is crimson, cut the 13th wire.
* If there are exactly 12 fawn wires, cut the 5th wire.
* If there are more than 15 violet wires, cut the 9th wire.
* If there are exactly 6 arctic wires, cut the 9th wire.
* If the 7th wire is shamrock, cut the 4th wire.
* If there are exactly 18 watermelon wires, cut the 18th wire.
* If there are exactly 18 teal wires, cut the 18th wire.
